objid,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks
1237662245523030172,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(51, 50)]"
1237655743476203674,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237655743476203694,NO_PEAK,"[]",SINGLE,"[(49, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662245523030217,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237655743476203685,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 51)]",SINGLE,"[(50, 50)]"
1237655743476203707,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(51, 50)]"
1237662246059901138,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237655743476203565,SINGLE,"[(21, 45)]",SINGLE,"[(22, 45)]",SINGLE,"[(22, 45)]",SINGLE,"[(22, 44)]"
1237662245523030087,DOUBLE,"[(52, 51)(42, 54)]",SINGLE,"[(52, 50)]",SINGLE,"[(51, 50)]",NO_PEAK,"[]"
1237655743476203559,SINGLE,"[(51, 54)]",SINGLE,"[(51, 53)]",SINGLE,"[(28, 19)]",SINGLE,"[(28, 19)]"
1237662246059901200,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662246059901142,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(34, 63)(50, 50)]",DOUBLE,"[(34, 63)(50, 50)]"
1237655743476203743,NO_PEAK,"[]",SINGLE,"[(13, 20)]",SINGLE,"[(14, 20)]",SINGLE,"[(14, 21)]"
1237655743476269188,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(52, 43)]",NO_PEAK,"[]"
1237655743476203850,NO_PEAK,"[]",SINGLE,"[(50, 49)]",SINGLE,"[(16, 35)]",SINGLE,"[(16, 34)]"
1237662246059835554,NO_PEAK,"[]",SINGLE,"[(50, 49)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237662245522964727,NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237655743476203649,NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237655743476138194,NO_PEAK,"[]",SINGLE,"[(26, 44)]",SINGLE,"[(25, 44)]",SINGLE,"[(26, 44)]"
1237662246059835566,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662246059835708,SINGLE,"[(2, 30)]",SINGLE,"[(2, 30)]",SINGLE,"[(2, 30)]",SINGLE,"[(2, 31)]"
1237655743476138233,SINGLE,"[(37, 39)]",SINGLE,"[(37, 39)]",SINGLE,"[(36, 40)]",DOUBLE,"[(37, 40)(50, 50)]"
1237662245522964715,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662245522964694,NO_PEAK,"[]",SINGLE,"[(51, 15)]",SINGLE,"[(51, 15)]",SINGLE,"[(50, 15)]"
1237662246059835599,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(63, 42)]"
1237662246059835643,NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237655743476138204,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662246059835716,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662246059835637,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(1, 24)]"
1237662246059835579,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662246059835582,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237662246059835632,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662245523030177,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(19, 18)]",SINGLE,"[(18, 18)]"
1237662245523030151,NO_PEAK,"[]",SINGLE,"[(50, 49)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237662245522964595,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 51)]",SINGLE,"[(50, 50)]"
1237662246059835498,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(12, 44)]"
1237655743476138142,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662245522964606,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237662245522899243,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(54, 66)]"
1237662245522964533,SINGLE,"[(19, 32)]",SINGLE,"[(19, 31)]",SINGLE,"[(19, 31)]",SINGLE,"[(30, 8)]"
1237662263245668643,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662237482090707,SINGLE,"[(27, 13)]",SINGLE,"[(27, 12)]",SINGLE,"[(27, 12)]",SINGLE,"[(27, 12)]"
1237662263782605124,NO_PEAK,"[]",SINGLE,"[(9, 1)]",SINGLE,"[(10, 1)]",SINGLE,"[(9, 1)]"
1237662263782539575,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662263245668574,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237662263245734121,NO_PEAK,"[]",SINGLE,"[(50, 51)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237662237482090695,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237662263782605033,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237662237481959715,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662237482025057,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237662263245668717,SINGLE,"[(22, 27)]",DOUBLE,"[(50, 49)(44, 45)]",SINGLE,"[(11, 25)]",SINGLE,"[(11, 24)]"
1237662237481959655,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(51, 50)]",SINGLE,"[(50, 50)]"
1237662237482090584,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(17, 43)]",NO_PEAK,"[]"
1237662268607692874,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237662268607627528,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237662268607627395,SINGLE,"[(39, 86)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(26, 14)]"
1237662236408086889,NO_PEAK,"[]",DOUBLE,"[(50, 50)(65, 51)]",DOUBLE,"[(50, 50)(66, 51)]",DOUBLE,"[(50, 50)(66, 50)]"
1237662262708535669,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
